DAIADA unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIAVAX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBNB unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIBTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDAI unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIDOT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIETH unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILINK unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAILTC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIMATIC unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAISOL unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAITRX unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIUSDT unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXLM unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume,DAIXRP unix,open,high,low,close,volume,close_time,quote_volume,count,tb_volume,tb_quote_volume
1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,1,1,1,1,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,0.0006117330,0.0006116919,0.0006134894,0.0006131057,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,,1693915200000,,,,,,1693916999999,,,,
1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,1,1,1,1,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,0.0006133953,0.0006103814,0.0006136362,0.0006107280,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,,1693917000000,,,,,,1693918799999,,,,
1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,1,1,1,1,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,0.0006108549,0.0006108549,0.0006122124,0.0006119539,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,,1693918800000,,,,,,1693920599999,,,,
1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,1,1,1,1,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,0.0006122124,0.0006122124,0.0006134442,0.0006134442,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,,1693920600000,,,,,,1693922399999,,,,
1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,1,1,1,1,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,0.0006134668,0.0006130531,0.0006143450,0.0006139301,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,,1693922400000,,,,,,1693924199999,,,,
1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,1,1,1,1,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,0.0006136551,0.0006136551,0.0006151386,0.0006137153,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,,1693924200000,,,,,,1693925999999,,,,
1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,1,1,1,1,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,0.0006134668,0.0006074043,0.0006135233,0.0006129442,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,,1693926000000,,,,,,1693927799999,,,,
1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,1,1,1,1,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,0.0006117854,0.0006104857,0.0006117854,0.0006112731,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,,1693927800000,,,,,,1693929599999,,,,
1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,1,1,1,1,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,0.0006111536,0.0006103590,0.0006115647,0.0006110191,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,,1693929600000,,,,,,1693931399999,,,,
1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,1,1,1,1,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,0.0006107915,0.0006091061,0.0006113478,0.0006113441,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,,1693931400000,,,,,,1693933199999,,,,
